uid,role,description,controller,function,table,uacl,oacl,entity
ANONYMOUS,Anonymous,Unauthenticated users,gis,display_feature,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,gis,geocode_r,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,gis,hdata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,gis,ldata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,gis_location,READ,,
AUTHENTICATED,Authenticated,,gis,location,,CREATE|READ,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,gis,,,READ,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,hrm,group,,NONE,,
AUTHENTICATED,Authenticated,,hrm,index,,NONE,,
AUTHENTICATED,Authenticated,,hrm,person,,,READ,
AUTHENTICATED,Authenticated,,hrm,staff,,NONE,,
AUTHENTICATED,Authenticated,,hrm,,,NONE,,
AUTHENTICATED,Authenticated,,msg,search,,READ,,
AUTHENTICATED,Authenticated,,org,,,NONE,,
AUTHENTICATED,Authenticated,,pr,pentity,,READ,,
AUTHENTICATED,Authenticated,,pr,person,,,READ|UPDATE,
AUTHENTICATED,Authenticated,,pr,person_search,,READ,,
AUTHENTICATED,Authenticated,,pr,,,CREATE,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,br_assistance_status,READ,,
AUTHENTICATED,Authenticated,,,,br_assistance_type,READ,,
AUTHENTICATED,Authenticated,,,,br_case_activity_status,READ,,
AUTHENTICATED,Authenticated,,,,br_case_activity_update_type,READ,,
AUTHENTICATED,Authenticated,,,,br_case_appointment_type,READ,,
AUTHENTICATED,Authenticated,,,,br_case_status,READ,,
AUTHENTICATED,Authenticated,,,,br_need,READ,,
AUTHENTICATED,Authenticated,,,,cr_shelter_type,READ,,
AUTHENTICATED,Authenticated,,,,event_event,READ,,
AUTHENTICATED,Authenticated,,,,hrm_job_title,READ,,
AUTHENTICATED,Authenticated,,,,org_facility_type,READ,,
AUTHENTICATED,Authenticated,,,,org_organisation_type,READ,,
AUTHENTICATED,Authenticated,,,,org_sector,READ,,
AUTHENTICATED,Authenticated,,,,org_sector_organisation,READ,,
AUTHENTICATED,Authenticated,,,,org_site_facility_type,READ,,
AUTHENTICATED,Authenticated,,,,pr_address,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,pr_contact,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,pr_contact_emergency,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,pr_person,,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,pr_person_details,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,br,,,CREATE|READ|UPDATE|DELETE,,
CASE_MANAGER,Case Manager,,br,,,CREATE|READ|UPDATE|DELETE,,
CITIZEN,Private Citizen,,br,activities,,READ,,any
CITIZEN,Private Citizen,,br,assistance_offer,,CREATE|READ,READ|UPDATE|DELETE,
CITIZEN,Private Citizen,,br,case_activity,,CREATE|READ,READ|UPDATE|DELETE,
CITIZEN,Private Citizen,,br,offers,,READ,,any
CITIZEN,Private Citizen,,br,,,NONE,,
CITIZEN,Private Citizen,,,,br_assistance_offer,CREATE,READ|UPDATE|DELETE,
CITIZEN,Private Citizen,,,,br_assistance_offer,READ,,any
CITIZEN,Private Citizen,,,,br_case_activity,CREATE,READ|UPDATE|DELETE,
CITIZEN,Private Citizen,,,,br_case_activity,READ,,any
EVENT_MANAGER,Event Manager,,br,activities,,READ|UPDATE|DELETE,,any
EVENT_MANAGER,Event Manager,,br,offers,,READ|UPDATE|DELETE,,any
EVENT_MANAGER,Event Manager,,br,,,CREATE|READ|UPDATE|DELETE,,
EVENT_MANAGER,Event Manager,,event,event,,CREATE|READ|UPDATE|DELETE,,
EVENT_MANAGER,Event Manager,,event,,,READ,,
EVENT_MANAGER,Event Manager,,,,br_assistance_offer,READ|UPDATE|DELETE,,any
EVENT_MANAGER,Event Manager,,,,br_case_activity,READ|UPDATE|DELETE,,any
EVENT_MANAGER,Event Manager,,,,event_event,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,org,,,CREATE|READ|UPDATE|DELETE,,
ORG_GROUP_ADMIN,Organisation Group Admin,,org,,,CREATE|READ|UPDATE|DELETE,,
RELIEF_PROVIDER,Relief Provider,,br,activities,,READ,,any
RELIEF_PROVIDER,Relief Provider,,br,,,CREATE|READ|UPDATE|DELETE,,
RELIEF_PROVIDER,Relief Provider,,,,br_case_activity,READ,,any
