uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,,,org_organisation_organisation_type,,READ,,,,,"Required for self-registration"
ANONYMOUS,Anonymous,,org,sites_for_org,,,READ,,,,,"Required for self-registration"
AUTHENTICATED,Authenticated,,default,person,,,"READ|CREATE|UPDATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_location",,"READ|CREATE|UPDATE",,,,,
AUTHENTICATED,Authenticated,,gis,index,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,config,,,"READ|CREATE","READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,gis,geocode,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,geocode_r,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,hdata,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,hierarchy,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,ldata,,,READ,,,,,
AUTHENTICATED,Authenticated,,gis,location,,,READ,,,,,
AUTHENTICATED,Authenticated,,pr,contact,,,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,pr,contact_emergency,,,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,gis,display_feature,,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,"gis_config",,"READ|CREATE","READ|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_bing",,READ,,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_coordinate",,READ,,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_empty",,READ,,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_feature",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_geojson",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_georss",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_google",,READ,,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_gpx",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_kml",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_openstretmap",,READ,,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_theme",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_tms",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_wfs",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_wms",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"gis_layer_xyz",,"READ|CREATE",,,,,
AUTHENTICATED,Authenticated,,,,"hrm_human_resource",,,READ,,,,
AUTHENTICATED,Authenticated,,,,"hrm_training",,,READ,,,,
AUTHENTICATED,Authenticated,,,,"pr_address",,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"pr_contact",,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"pr_contact_emergency",,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"pr_education",,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"pr_group_membership",,,READ,,,,
AUTHENTICATED,Authenticated,,,,"pr_identity",,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"pr_image",,,"READ|CREATE|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"pr_person",,,"READ|UPDATE",,,,
AUTHENTICATED,Authenticated,,,,"pr_physical_description",,,"READ|CREATE|UPDATE",,,,
reader,"All Module Reader",,asset,,,,READ,,,,,
reader,"All Module Reader",,event,,,any,READ,,,,,
reader,"All Module Reader",,gis,poi,,,READ,,,,,
reader,"All Module Reader",,gis,poi_type,,,READ,,,,,
reader,"All Module Reader",,gis,theme_data,,,READ,,,,,
reader,"All Module Reader",,hrm,,,,READ,,,,,
reader,"All Module Reader",,hrm,human_resource,,,NONE,,,,,
reader,"All Module Reader",,inv,,,,READ,,,,,
reader,"All Module Reader",,irs,,,any,READ,,,,,
reader,"All Module Reader",,member,,,,READ,,,,,
reader,"All Module Reader",,org,,,any,READ,,,,,
reader,"All Module Reader",,org,capacity_assessment,,any,NONE,,,,,
reader,"All Module Reader",,,,org_capacity_assessment_data,any,NONE,,,,,
reader,"All Module Reader",,pr,,,,READ,,,,,
reader,"All Module Reader",,project,,,any,READ,,,,,
reader,"All Module Reader",,req,,,,READ,,,,,
reader,"All Module Reader",,stats,,,,READ,,,,,
reader,"All Module Reader",,supply,,,any,READ,,,,,
reader,"All Module Reader",,survey,completed_chart,,,READ,,,,,
reader,"All Module Reader",,survey,export_all_responses,,,READ,,,,,
reader,"All Module Reader",,survey,index,,,READ,,,,,
reader,"All Module Reader",,survey,series,,,READ,,,,,
reader,"All Module Reader",,survey,series_export_formatted,,,READ,,,,,
reader,"All Module Reader",,survey,template,,,READ,,,,,
reader,"All Module Reader",,vol,,,,READ,,,,,
reader,"All Module Reader",,vulnerability,,,,READ,,,,,
reader,"All Module Reader",,,,"hrm_human_resource",,READ,,,,,
reader,"All Module Reader",,,,"hrm_training",,READ,,,,,
reader,"All Module Reader",,,,"member_membership_type",,READ,,,,,
reader,"All Module Reader",,,,"pr_address",,READ,,,,,
reader,"All Module Reader",,,,"pr_contact",,READ,,,,,
reader,"All Module Reader",,,,"pr_contact_emergency",,READ,,,,,
reader,"All Module Reader",,,,"pr_education",,READ,,,,,
reader,"All Module Reader",,,,"pr_group_membership",,READ,,,,,
reader,"All Module Reader",,,,"pr_identity",,READ,,,,,
reader,"All Module Reader",,,,"pr_image",,READ,,,,,
reader,"All Module Reader",,,,"pr_person",,READ,,,,,
reader,"All Module Reader",,,,"pr_physical_description",,READ,,,,,
reader,"All Module Reader",,,,"survey_translate",,READ,,,,,
asset_reader,"Asset Reader",,asset,,,,READ,,,,,
asset_reader,"Asset Reader",,supply,,,,READ,,,,,
asset_reader,"Asset Reader",,,,"inv_warehouse",,READ,,,,,
asset_reader,"Asset Reader",,supply,,,any,READ,,,,,
asset_reader,"Asset Reader",,supply,catalog,"supply_catalog",,READ,,,,,
asset_reader,"Asset Reader",,org,,,,READ,,,,,
asset_reader,"Asset Reader",,pr,,,,READ,,,,,
asset_reader,"Asset Reader",,hrm,hr_search,,,READ,,,,,
asset_data_entry,"Asset Data Entry",,asset,,,,"READ|CREATE","READ|CREATE|UPDATE",,,,
asset_data_entry,"Asset Data Entry",,asset,,,any,READ,,,,,"Needs to be able to choose any Org as Donated By"
asset_data_entry,"Asset Data Entry",,,,"asset_asset",any,NONE,,,,,"But not read assets of other orgs"
asset_data_entry,"Asset Data Entry",,,,"asset_asset",any,"READ|CREATE|UPDATE|DELETE",,,,,
asset_data_entry,"Asset Data Entry",,supply,,,,"READ|CREATE","READ|CREATE|UPDATE",,,,
asset_data_entry,"Asset Data Entry",,,,"inv_warehouse",,READ,,,,,
asset_data_entry,"Asset Data Entry",,supply,,,any,READ,,,,,
asset_data_entry,"Asset Data Entry",,,,"supply_catalog",,READ,,,,,
asset_data_entry,"Asset Data Entry",,org,,,,READ,,,,,
asset_data_entry,"Asset Data Entry",,,,"org_organisation",,"READ|UPDATE",,,,,"Used to filter organisation fields"
asset_data_entry,"Asset Data Entry",,,,"org_organisation",any,READ,,,,,"Needs to be able to choose any Org as Donated By"
asset_data_entry,"Asset Data Entry",,pr,,,,READ,,,,,
asset_data_entry,"Asset Data Entry",,hrm,hr_search,,,READ,,,,,
asset_editor,"Asset Editor",,asset,,,,"READ|CREATE|UPDATE",,,,,
asset_editor,"Asset Editor",,asset,,,any,READ,,,,,"Needs to be able to choose any Org as Donated By"
asset_editor,"Asset Editor",,,,"asset_asset",any,NONE,,,,,"But not read assets of other orgs"
asset_editor,"Asset Editor",,,,"asset_asset",any,"READ|CREATE|UPDATE|DELETE",,,,,
asset_editor,"Asset Editor",,supply,,,,"READ|CREATE|UPDATE",,,,,
asset_editor,"Asset Editor",,,,"inv_warehouse",,"READ|UPDATE",,,,,
asset_editor,"Asset Editor",,supply,,,any,READ,,,,,
asset_editor,"Asset Editor",,,,"supply_catalog",,"READ|UPDATE",,,,,
asset_editor,"Asset Editor",,org,,,,"READ|UPDATE",,,,,
asset_editor,"Asset Editor",,,,"org_organisation",,"READ|CREATE|UPDATE",,,,,"Used to filter organisation fields"
asset_editor,"Asset Editor",,,,"org_organisation",any,READ,,,,,"Needs to be able to choose any Org as Donated By"
asset_editor,"Asset Editor",,pr,,,,READ,,,,,
asset_editor,"Asset Editor",,hrm,hr_search,,,READ,,,,,
asset_super,"Asset Super Editor",,asset,,,,"READ|CREATE|UPDATE|DELETE",,,,,
asset_super,"Asset Super Editor",,asset,,,any,READ,,,,,"Needs to be able to choose any Org as Donated By"
asset_super,"Asset Super Editor",,,,"asset_asset",any,NONE,,,,,"But not read assets of other orgs"
asset_super,"Asset Super Editor",,,,"asset_asset",,"READ|CREATE|UPDATE|DELETE",,,,,
asset_super,"Asset Super Editor",,supply,,,,"READ|CREATE|UPDATE|DELETE",,,,,
asset_super,"Asset Super Editor",,,,"inv_warehouse",,"READ|CREATE|UPDATE",,,,,
asset_super,"Asset Super Editor",,supply,,,any,READ,,,,,
asset_super,"Asset Super Editor",,,,"supply_catalog",,ALL,,,,,
asset_super,"Asset Super Editor",,org,,,,"READ|CREATE|UPDATE",,,,,
asset_super,"Asset Super Editor",,,,"org_organisation",,"READ|CREATE|UPDATE",,,,,"Used to filter organisation fields"
asset_super,"Asset Super Editor",,,,"org_organisation",any,READ,,,,,"Needs to be able to choose any Org as Donated By"
asset_super,"Asset Super Editor",,pr,,,,READ,,,,,
asset_super,"Asset Super Editor",,hrm,hr_search,,,READ,,,,,
inv_reader,"Warehouse Reader",,inv,,,,READ,,,,,
inv_reader,"Warehouse Reader",,inv,facility,,,READ,,,,,
inv_reader,"Warehouse Reader",,inv,inv_item,,,READ,,,,,
inv_reader,"Warehouse Reader",,inv,req_match,,,READ,,,,,
inv_reader,"Warehouse Reader",,inv,supplier,,,READ,,,,,
inv_reader,"Warehouse Reader",,,,"inv_warehouse",,READ,,,,,
