uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes
ANONYMOUS,Anonymous,,event,sitrep,,,READ,,,,,
ANONYMOUS,Anonymous,,,,event_sitrep,,READ,,,,,
ANONYMOUS,Anonymous,,gis,,,,READ,,,,,
ANONYMOUS,Anonymous,,org,organisation,,,READ,,,,,
ANONYMOUS,Anonymous,,org,facility_type,,,NONE,,,,,Hide menu
ANONYMOUS,Anonymous,,org,organisation_type,,,NONE,,,,,Hide menu
ANONYMOUS,Anonymous,,org,sector,,,READ,,,,,Needed for Map Icons & Filters
ANONYMOUS,Anonymous,,org,service,,,NONE,,,,,Hide menu
ANONYMOUS,Anonymous,,,,org_organisation,,READ,,,,,Required for self-registration
ANONYMOUS,Anonymous,,,,org_organisation_organisation_type,,READ,,,,,Required for self-registration
ANONYMOUS,Anonymous,,org,sites_for_org,,,READ,,,,,Required for self-registration
ANONYMOUS,Anonymous,,need,respnse,,,READ,,,,,
ANONYMOUS,Anonymous,,need,response_line,,,READ,,,,,
ANONYMOUS,Anonymous,,need,need,,,READ,,,,,
ANONYMOUS,Anonymous,,need,line,,,READ,,,,,
ANONYMOUS,Anonymous,,supply,item,,,NONE,,,,,Hide menu
AUTHENTICATED,Authenticated,,supply,item,,,READ,,,,,
AUTHENTICATED,Authenticated,,supply,item_category,,,READ,,,,,
AUTHENTICATED,Authenticated,,supply,item_pack,,,READ,,,,,
AUTHENTICATED,Authenticated,,,,org_facility_type,,READ,,,,,
AUTHENTICATED,Authenticated,,,,org_organisation_type,,READ,,,,,
AUTHENTICATED,Authenticated,,,,org_sector,,READ,,,,,
ACTIVITY_LOGGER,Activity Logger,"User can create/update their own Organisation's 4W activities",org,organisation,,,CREATE|READ|UPDATE|DELETE,,,,,
ACTIVITY_LOGGER,Activity Logger,"User can create/update their own Organisation's 4W activities",need,respnse,,,CREATE|READ|UPDATE|DELETE,,,,,
ACTIVITY_LOGGER,Activity Logger,"User can create/update their own Organisation's 4W activities",need,response_line,,,CREATE|READ|UPDATE|DELETE,,,,,
NEEDS_LOGGER,Needs Logger,"User can create/update their own Organisation's needs",need,need,,,CREATE|READ|UPDATE|DELETE,,,,,
NEEDS_LOGGER,Needs Logger,"User can create/update their own Organisation's needs",need,line,,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,admin,user,,,ALL,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,event,sitrep,,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,,,event_sitrep,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,org,facility,,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,org,organisation,,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,,,org_organisation,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,pr,forum,,,CREATE|READ,CREATE|READ|UPDATE|DELETE,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,,,pr_forum,,READ,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,need,need,,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,need,line,,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,need,respnse,,,CREATE|READ|UPDATE|DELETE,,,,,
ORG_ADMIN,Organisation Admin,User can update their organization-specific information,need,response_line,,,CREATE|READ|UPDATE|DELETE,,,,,
